[GIN] 2019/10/24 - 08:23:34 | 404 |      16.789µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:23:34 | 404 |       1.468µs |       127.0.0.1 | GET      /favicon.ico
[GIN] 2019/10/24 - 08:25:21 | 404 |      11.552µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:25:22 | 404 |      28.886µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:25:22 | 404 |      10.327µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:25:23 | 404 |       9.255µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:25:23 | 404 |      22.625µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:25:23 | 404 |      18.285µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:25:23 | 404 |       8.202µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:25:23 | 404 |      12.506µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:29:42 | 404 |      13.823µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:29:42 | 404 |      39.188µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:29:42 | 404 |      11.582µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:29:42 | 404 |      10.314µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:29:43 | 404 |      11.368µs |       127.0.0.1 | GET      /swagger/*any
[GIN] 2019/10/24 - 08:35:08 | 200 |     418.345µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/24 - 08:35:08 | 200 |      135.19µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/24 - 08:35:08 | 200 |     258.482µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/24 - 08:35:08 | 200 |   36.482129ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/24 - 08:35:09 | 200 |     173.361µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/24 - 08:35:09 | 200 |    6.123866ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
