[GIN] 2019/10/28 - 19:38:46 | 200 |    1.090262ms |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/28 - 19:38:46 | 200 |     244.709µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/28 - 19:38:46 | 200 |     271.861µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/28 - 19:38:46 | 200 |    5.382974ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/28 - 19:38:47 | 200 |      217.17µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/28 - 19:38:47 | 200 |    3.768906ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/28 - 19:38:53 | 200 |      90.116µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/28 - 19:38:53 | 404 |       1.388µs |       127.0.0.1 | GET      /favicon.ico
[GIN] 2019/10/28 - 19:43:46 | 200 |       54.17µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/28 - 19:43:46 | 304 |      33.155µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/28 - 19:43:46 | 304 |      36.913µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/28 - 19:43:46 | 304 |      36.669µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/28 - 19:43:46 | 200 |      231.42µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/28 - 19:43:46 | 200 |        66.8µs |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/28 - 21:50:36 | 200 |     101.855µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/28 - 21:50:36 | 304 |      39.956µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/28 - 21:50:36 | 304 |     108.895µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/28 - 21:50:36 | 200 |    2.532358ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/28 - 21:50:37 | 200 |     174.385µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/28 - 21:50:37 | 200 |      45.254µs |       127.0.0.1 | GET      /swagger/favicon-32x32.png
