[GIN] 2019/10/29 - 16:36:35 | 200 |     433.297µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:36:35 | 200 |    2.052611ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:36:35 | 200 |     315.239µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:36:35 | 200 |   16.124425ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:36:35 | 200 |      52.908µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:36:35 | 200 |   16.443655ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:36:35 | 200 |  107.001104ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:36:35 | 200 |     305.604µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:36:35 | 200 |     4.46929ms |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:36:39 | 200 |      71.968µs |             ::1 | GET      /api/v1/ping
[GIN] 2019/10/29 - 16:39:13 | 200 |     339.472µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:39:13 | 200 |     227.634µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:39:13 | 200 |     345.503µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:39:13 | 200 |    4.293755ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:39:13 | 200 |     132.503µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:39:13 | 200 |   19.708644ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:39:13 | 200 |  109.925962ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:39:13 | 200 |    4.906025ms |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:39:13 | 200 |     387.938µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:39:20 | 403 |      82.478µs |             ::1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:42:47 | 200 |     325.522µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:42:47 | 200 |     297.215µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:42:47 | 200 |       59.65µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:42:47 | 200 |     376.157µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:42:47 | 200 |     5.15449ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:42:47 | 200 |   22.124371ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:42:47 | 200 |     2.96067ms |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:42:47 | 200 |     329.972µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:42:47 | 200 |  116.530434ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
1111
4444
[GIN] 2019/10/29 - 16:42:51 | 403 |     168.168µs |             ::1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:43:53 | 200 |     419.892µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:43:53 | 200 |     369.921µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:43:53 | 200 |      35.552µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:43:53 | 200 |     422.254µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:43:53 | 200 |    4.597786ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:43:53 | 200 |   28.326576ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:43:53 | 200 |  107.916547ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:43:54 | 200 |    4.282792ms |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:43:54 | 200 |      233.09µs |             ::1 | GET      /swagger/doc.json
1111
http://localhost:3001
4444
[GIN] 2019/10/29 - 16:43:57 | 403 |     248.129µs |             ::1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:44:34 | 200 |     556.146µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:44:34 | 200 |     245.103µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:44:34 | 200 |       71.11µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:44:34 | 200 |     327.587µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:44:34 | 200 |     3.88166ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:44:34 | 200 |    4.866516ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:44:34 | 200 |   99.843788ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:44:34 | 200 |    3.511638ms |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:44:34 | 200 |      224.16µs |             ::1 | GET      /swagger/doc.json
1111
http://localhost:3001
false
4444
[GIN] 2019/10/29 - 16:44:38 | 403 |     261.641µs |             ::1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:46:52 | 200 |      405.39µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:46:52 | 200 |     537.027µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:46:52 | 200 |     408.384µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:46:52 | 200 |    3.087474ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:46:52 | 200 |      40.623µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:46:52 | 200 |    7.246147ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:46:53 | 200 |  100.075874ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:46:53 | 200 |     371.682µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:46:53 | 200 |    4.964061ms |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:46:56 | 200 |     127.054µs |             ::1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:49:39 | 200 |     467.018µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:49:39 | 200 |     241.957µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:49:39 | 200 |      38.902µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:49:39 | 200 |     451.093µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:49:39 | 200 |    7.746234ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:49:39 | 200 |    7.617495ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:49:39 | 200 |    5.224977ms |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:49:39 | 200 |  131.924828ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:49:39 | 200 |     177.953µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:49:46 | 200 |     145.744µs |       127.0.0.1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:50:28 | 200 |     377.229µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:50:28 | 200 |     581.329µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:50:28 | 200 |    2.436044ms |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:50:28 | 200 |   10.009338ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:50:28 | 200 |       71.53µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:50:29 | 200 |    26.56565ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:50:29 | 200 |  128.245444ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:50:29 | 200 |    5.265514ms |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:50:29 | 200 |     265.791µs |             ::1 | GET      /swagger/doc.json
http://localhost:3001
[GIN] 2019/10/29 - 16:50:33 | 200 |     284.281µs |       127.0.0.1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:51:32 | 200 |      462.24µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:51:32 | 200 |     208.092µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:51:32 | 200 |      328.85µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:51:32 | 200 |    2.530481ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:51:32 | 200 |      79.486µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:51:32 | 200 |   15.767034ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:51:32 | 200 |  104.906033ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:51:32 | 200 |      421.58µs |             ::1 | GET      /swagger/doc.json
