[GIN] 2019/11/19 - 14:58:29 | 200 |  262.067739ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/11/19 - 14:58:33 | 200 |   264.95079ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/11/19 - 14:58:54 | 200 |  247.145908ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/11/19 - 15:38:23 | 200 |     729.269µs |             ::1 | GET      /swagger/index.html
[GIN] 2019/11/19 - 15:38:23 | 200 |     807.799µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/11/19 - 15:38:23 | 200 |    1.088474ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/11/19 - 15:38:23 | 200 |    2.748366ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/11/19 - 15:38:23 | 200 |      359.19µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/11/19 - 15:38:23 | 200 |    6.821697ms |             ::1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/11/19 - 15:38:55 | 200 |     145.231µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/11/19 - 15:38:55 | 200 |     505.406µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/11/19 - 15:38:55 | 200 |     483.526µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/11/19 - 15:38:55 | 200 |    8.593029ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/11/19 - 15:38:55 | 200 |     228.273µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/11/19 - 15:38:56 | 200 |      70.122µs |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/11/19 - 15:40:25 | 200 |      55.988µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/11/19 - 15:40:25 | 200 |     219.647µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/11/19 - 16:09:34 | 200 |   277.27302ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/11/19 - 16:11:19 | 200 |  265.537637ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/11/19 - 16:13:05 | 200 |  265.572799ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/11/19 - 16:19:10 | 200 |  264.165236ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/11/19 - 16:19:10 | 404 |       1.321µs |       127.0.0.1 | GET      /api/v1/user/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjIsIm5hbWUiOiJ3YWxrZXIiLCJwaG9uZSI6IiIsImV4cCI6MTU3NDE1NTE1MCwibmJmIjoxNTc0MTUwNTUwfQ.xXLFEerM2BfqhhYclMUHAKrDThIgyalTkzUlxndDXfg
[GIN] 2019/11/19 - 16:19:22 | 200 |   247.71208ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/11/19 - 16:19:22 | 404 |       1.671µs |       127.0.0.1 | GET      /api/v1/user/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjIsIm5hbWUiOiJ3YWxrZXIiLCJwaG9uZSI6IiIsImV4cCI6MTU3NDE1NTE2MiwibmJmIjoxNTc0MTUwNTYyfQ.d_4UHuCU9Whv3ye3-iSlYsUcciCPerHgdLEgDZlUpIA
[GIN] 2019/11/19 - 16:22:12 | 200 |  267.294324ms |       127.0.0.1 | POST     /api/v1/user/login
[GIN] 2019/11/19 - 16:22:12 | 404 |        1.77µs |       127.0.0.1 | GET      /api/v1/user/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjIsIm5hbWUiOiJ3YWxrZXIiLCJwaG9uZSI6IiIsImV4cCI6MTU3NDE1NTMzMiwibmJmIjoxNTc0MTUwNzMyfQ.w-iysfibYkmGZm0_CBF_51fvEBYkbN7M7DvQSz59hJM
[GIN] 2019/11/19 - 16:55:40 | 200 |     651.969µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/11/19 - 16:55:40 | 200 |     615.604µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/11/19 - 16:55:41 | 200 |     953.437µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/11/19 - 16:55:41 | 200 |    7.279265ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/11/19 - 16:55:41 | 200 |     269.676µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/11/19 - 16:56:43 | 200 |      86.281µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/11/19 - 16:56:43 | 200 |     234.612µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/11/19 - 16:56:43 | 200 |    4.376593ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/11/19 - 16:57:46 | 200 |     484.448µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/11/19 - 16:57:46 | 200 |    5.926701ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/11/19 - 16:57:46 | 200 |     194.192µs |       127.0.0.1 | GET      /swagger/doc.json
